ID,Start Date,Start Time,offensegroup,OFFENSE
24675,08/15/2022,13:06:00,property,theft/other
24676,09/22/2022,22:00:00,property,theft f/auto
24677,09/26/2022,00:00:00,property,theft f/auto
24678,09/26/2022,17:50:00,property,motor vehicle theft
24679,09/26/2022,19:08:00,property,theft f/auto
24680,07/10/2022,05:00:00,property,theft/other
24681,07/10/2022,14:24:00,property,theft/other
24682,06/17/2022,08:00:00,property,theft/other
24683,08/30/2022,19:19:00,property,theft f/auto
24684,08/30/2022,19:05:00,property,theft/other
24685,08/30/2022,17:30:00,property,theft/other
24686,08/30/2022,05:00:00,property,theft/other
24687,08/30/2022,22:30:00,property,motor vehicle theft
24688,08/30/2022,16:00:00,property,motor vehicle theft
24689,08/13/2022,22:51:00,property,theft/other
24690,08/20/2022,19:15:00,violent,assault w/dangerous weapon
24691,09/05/2022,18:07:00,violent,robbery
24692,08/20/2022,23:15:00,violent,robbery
24693,08/08/2022,08:43:00,property,theft/other
24694,08/15/2022,07:30:00,property,burglary
24695,08/20/2022,18:33:00,property,motor vehicle theft
24696,09/26/2022,23:25:00,property,theft/other
24697,09/27/2022,00:47:00,property,motor vehicle theft
24698,09/25/2022,02:00:00,property,theft f/auto
24699,09/25/2022,14:00:00,property,theft/other
24700,09/24/2022,20:34:00,property,theft/other
24701,07/15/2022,17:06:00,property,theft/other
24702,07/19/2022,18:00:00,property,motor vehicle theft
24703,07/20/2022,15:13:00,property,theft/other
24704,07/18/2022,18:30:00,property,theft f/auto
24705,07/20/2022,15:33:00,property,motor vehicle theft
24706,09/05/2022,16:53:00,property,motor vehicle theft
24707,09/05/2022,17:55:00,property,motor vehicle theft
24708,09/03/2022,10:00:00,property,theft/other
24709,09/05/2022,17:30:00,property,theft/other
24710,09/02/2022,23:00:00,property,theft f/auto
24711,09/10/2022,15:00:00,property,theft/other
24712,09/16/2022,17:26:00,violent,robbery
24713,08/26/2022,02:11:00,property,theft f/auto
24714,08/26/2022,07:07:00,property,theft/other
24715,09/30/2022,20:00:00,property,theft f/auto
24716,09/30/2022,20:00:00,property,theft/other
24717,07/15/2022,07:13:00,property,theft f/auto
24718,07/14/2022,22:00:00,property,theft f/auto
24719,07/15/2022,09:24:00,property,motor vehicle theft
24720,07/11/2022,19:30:00,property,burglary
24721,07/14/2022,17:00:00,property,theft f/auto
24722,07/19/2022,17:00:00,property,theft f/auto
24723,07/26/2022,04:21:00,property,theft f/auto
24724,09/11/2022,00:30:00,property,theft f/auto
24725,09/16/2022,15:14:00,property,motor vehicle theft
24726,09/16/2022,18:00:00,property,theft/other
24727,08/26/2022,07:25:00,property,theft/other
24728,08/31/2022,17:31:00,violent,robbery
24729,07/16/2022,16:56:00,violent,assault w/dangerous weapon
24730,07/16/2022,21:00:00,violent,homicide
24731,08/01/2022,12:25:00,violent,robbery
24732,08/22/2022,03:15:00,violent,robbery
24733,08/31/2022,17:56:00,property,theft f/auto
24734,09/07/2022,19:30:00,property,theft f/auto
24735,09/07/2022,15:32:00,property,theft/other
24736,09/05/2022,14:00:00,property,theft f/auto
24737,09/07/2022,11:30:00,property,theft/other
24738,09/12/2022,22:15:00,property,motor vehicle theft
24739,09/13/2022,11:46:00,property,theft/other
24740,07/15/2022,17:45:00,property,theft/other
24741,07/15/2022,17:00:00,property,theft/other
24742,07/16/2022,20:21:00,property,theft f/auto
24743,07/14/2022,20:00:00,property,theft/other
24744,07/16/2022,16:00:00,property,theft/other
24745,07/29/2022,10:30:00,property,theft f/auto
24746,07/30/2022,08:00:00,property,theft f/auto
24747,07/16/2022,06:30:00,property,theft/other
24748,08/01/2022,12:38:00,property,motor vehicle theft
24749,08/06/2022,14:23:00,property,theft/other
24750,08/21/2022,23:59:00,property,theft/other
24751,08/22/2022,00:44:00,property,theft/other
24752,08/22/2022,01:36:00,property,theft/other
24753,08/22/2022,04:05:00,property,motor vehicle theft
24754,08/22/2022,04:48:00,violent,robbery
24755,07/21/2022,21:06:00,violent,robbery
24756,07/21/2022,22:33:00,violent,robbery
24757,08/06/2022,16:55:00,violent,sex abuse
24758,08/11/2022,19:01:00,violent,robbery
24759,08/21/2022,13:00:00,property,theft f/auto
24760,09/12/2022,23:30:00,property,theft f/auto
24761,09/13/2022,06:30:00,property,burglary
24762,09/13/2022,17:15:00,property,theft f/auto
24763,09/13/2022,17:20:00,property,theft/other
24764,09/16/2022,19:00:00,property,theft/other
24765,09/19/2022,00:22:00,property,burglary
24766,07/21/2022,15:00:00,property,theft/other
24767,07/22/2022,01:38:00,property,theft f/auto
24768,07/21/2022,06:50:00,property,theft f/auto
24769,07/31/2022,14:00:00,property,theft/other
24770,08/06/2022,17:49:00,property,motor vehicle theft
24771,08/08/2022,20:30:00,property,theft f/auto
24772,08/10/2022,13:00:00,property,theft/other
24773,08/11/2022,18:32:00,property,theft/other
24774,08/19/2022,18:00:00,property,theft/other
24775,08/27/2022,10:30:00,property,theft/other
24776,07/12/2022,20:00:00,violent,robbery
24777,07/31/2022,23:51:00,violent,robbery
24778,08/31/2022,19:00:00,property,theft f/auto
24779,07/12/2022,18:19:00,property,theft/other
24780,07/26/2022,23:00:00,property,theft f/auto
24781,07/27/2022,07:13:00,property,theft f/auto
24782,07/31/2022,23:50:00,property,theft/other
24783,07/31/2022,20:00:00,property,theft f/auto
24784,06/21/2022,23:23:00,property,theft/other
24785,08/15/2022,22:00:00,property,arson
24786,08/16/2022,10:41:00,property,burglary
24787,08/16/2022,11:26:00,property,theft/other
24788,08/16/2022,11:38:00,property,theft/other
24789,08/16/2022,10:00:00,property,theft f/auto
24790,08/16/2022,13:10:00,property,theft f/auto
24791,08/15/2022,20:00:00,property,theft f/auto
24792,08/15/2022,16:00:00,property,motor vehicle theft
24793,08/16/2022,13:30:00,property,motor vehicle theft
24794,08/08/2022,03:40:00,property,theft/other
24795,09/01/2022,21:00:00,property,theft f/auto
24796,07/31/2022,23:00:00,violent,robbery
24797,08/01/2022,04:50:00,violent,assault w/dangerous weapon
24798,08/01/2022,03:35:00,violent,robbery
24799,08/06/2022,05:37:00,violent,robbery
24800,08/06/2022,07:00:00,violent,sex abuse
24801,08/26/2022,20:35:00,violent,assault w/dangerous weapon
24802,08/26/2022,23:07:00,violent,assault w/dangerous weapon
24803,09/07/2022,22:13:00,violent,sex abuse
24804,09/02/2022,14:06:00,property,motor vehicle theft
24805,09/07/2022,18:24:00,property,theft/other
24806,09/07/2022,16:00:00,property,motor vehicle theft
24807,09/18/2022,09:00:00,property,theft f/auto
24808,09/22/2022,21:20:00,property,theft/other
24809,03/30/2022,00:00:00,property,theft/other
24810,07/31/2022,18:00:00,property,theft f/auto
24811,08/06/2022,05:11:00,property,burglary
24812,08/05/2022,09:30:00,property,theft/other
24813,08/05/2022,19:43:00,property,theft/other
24814,08/05/2022,22:45:00,property,theft f/auto
24815,08/05/2022,15:40:00,property,theft/other
24816,08/05/2022,14:42:00,property,theft/other
24817,08/16/2022,10:30:00,property,theft f/auto
24818,08/21/2022,00:00:00,property,theft f/auto
24819,08/21/2022,20:03:00,property,motor vehicle theft
24820,08/20/2022,07:30:00,property,theft f/auto
24821,08/21/2022,12:20:00,property,theft/other
24822,08/21/2022,21:42:00,property,motor vehicle theft
